"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"215","AKNA",2.91858009244355e-14,0.363129866790291,0.041,0.018,4.46134152930922e-10,"AKNA","80709"
"216","AKR1A1",5.34131406883767e-40,0.0404898792751532,0.364,0.243,8.16473268562526e-36,"AKR1A1","10327"
"217","AKR1B1",5.4193281906078e-19,0.212285195129029,0.032,0.01,8.28398507216309e-15,"AKR1B1","231"
"218","AKR1B10",9.31260213290818e-21,-0.65616412628994,0.246,0.309,1.42352436203634e-16,"AKR1B10","57016"
"219","AKR1C1",7.09894761036019e-07,1.04742883834997,0.029,0.016,0.0108514513171966,"AKR1C1","1645"
"220","AKR1C3",1.30483434948346e-16,-0.845056762642139,0.32,0.36,1.99456978662042e-12,"AKR1C3","8644"
"221","AKR7A2",1.36358370127049e-16,-0.335826038701118,0.276,0.198,2.08437404576207e-12,"AKR7A2","8574"
"222","AKT1",4.97375214503136e-32,0.335346591447842,0.12,0.059,7.60287752889493e-28,"AKT1","207"
"223","AKT1S1",1.39988420963188e-24,0.292129973633895,0.121,0.066,2.1398630028433e-20,"AKT1S1","84335"
"224","AKT2",1.83191565898938e-19,0.523103193346558,0.086,0.046,2.80026627633116e-15,"AKT2","208"
"225","ALCAM",3.16109456217086e-42,1.74519304565617,0.038,0.005,4.83204914773438e-38,"ALCAM","214"
"226","ALDH16A1",7.62625256484256e-19,0.208927169439529,0.088,0.048,1.16574896706183e-14,"ALDH16A1","126133"
"227","ALDH1A1",1.92244718254506e-06,-0.644299375958856,0.129,0.098,0.0293865276323839,"ALDH1A1","216"
"228","ALDH1A2",1.38908172493903e-18,2.91111981602274,0.012,0.001,2.1233503247418e-14,"ALDH1A2","8854"
"229","ALDH1B1",6.08296670833187e-25,0.149818518176927,0.062,0.025,9.2984229103561e-21,"ALDH1B1","219"
"230","ALDH3A1",1.80512482057094e-19,0.547702400636493,0.052,0.022,2.75931380072474e-15,"ALDH3A1","218"
"231","ALDH3A2",1.75094310371796e-23,-0.162808329207612,0.17,0.105,2.67649162834327e-19,"ALDH3A2","224"
"232","ALDH3B1",9.33558760996415e-32,1.27587701540814,0.042,0.01,1.42703792205912e-27,"ALDH3B1","221"
"233","ALDH4A1",3.69798225895533e-17,1.5781537503164,0.016,0.003,5.65273568103912e-13,"ALDH4A1","8659"
"234","ALDH5A1",6.18980746713553e-15,0.686907890431801,0.025,0.008,9.46173969426338e-11,"ALDH5A1","7915"
"235","ALDH6A1",1.72376340114716e-11,-0.0404673572872722,0.069,0.041,2.63494473499355e-07,"ALDH6A1","4329"
